title,paragraph
Johann Joseph Abert,"Johann Joseph Abert (20 September 1832 – 1 April 1915 in Stuttgart) was a German composer. An ethnic German from the Sudetenland, he is also known in Czech as Jan Josef Abert."
Ludwig Abel,"Ludwig Abel (14 January 1835 – 13 August 1895) was a German violinist, composer, and conductor."
Agostino Accorimboni,"Agostino Accorimboni (28 August 1739 - 13 August 1818), last name also given as Accoramboni, Accorimbeni or Accorrimboni,  was an Italian composer known mostly for his operas. He composed thirteen operas of which ten premiered in Rome between 1770 and 1785.[1]"
Jean-Baptiste Accolay,"Jean-Baptiste Accolay (French pronunciation: ​[ʒɑ̃ batist akɔlɛ]; 17 April 1833 – 19 August 1900)[1] was a Belgian violin teacher, violinist, conductor, and composer of the romantic period. His best-known composition is his one-movement student concerto in A minor. It was written in 1868, originally for violin and orchestra."
Kornél Ábrányi,"Kornél Ábrányi (Hungarian pronunciation: [ˈkorneːl ˈaːbraːɲi]; 15 October 1822 – 20 December 1903) was a Hungarian pianist, music writer and theorist, and composer. He was born in Szentgyörgyábrány. A pupil of Frédéric Chopin, and a close friend of Franz Liszt, whose music he championed, Ábrányi chiefly wrote music for piano, but also composed chamber music, choral works, and lieder. He began teaching at the Franz Liszt Academy of Music at its founding in 1875 and became its secretary."
Mary Anne à Beckett,"Mary Anne à Beckett (29 April 1815 – 11 December 1863)[n 1] was an English composer, primarily known for opera. She was the wife of the writer Gilbert à Beckett, who provided the libretti for two of her operas. Their children included the writers Gilbert Arthur à Beckett and Arthur William à Beckett. Her theatrical connections included her brother, the actor and producer impresario Augustus Glossop Harris, and his eldest son, also an impresario, Sir Augustus Harris."
Louis Adam,"Louis Adam or Jean-Louis Adam (born Johann Ludwig Adam) (3 December 1758 – 8 April 1848) was a French composer, music teacher, and piano virtuoso.[1]"
María de las Mercedes Adam de Aróstegui,"María Emma de las Mercedes Adam de Aróstegui (24 September 1873 – 20 October 1957) was a Cuban pianist and composer who lived and worked in Spain. She was born in Camagüey, Cuba, and moved to Spain with her family when she was nine years old. She studied with Joaquin Zuazagoitia in Santiago de Compostela and continued her studies in the Conservatorio Real in Madrid. She studied with Louis Diemer and Jules Massenet in Paris and with Vincent d'Indy."
Rafael Aceves y Lozano,"Rafael Aceves y Lozano (20 March 1837 – 21 February 1876) was a Spanish composer. He studied at the Madrid Conservatory, earning a gold medal in 1863. He was especially known for his sacred music compositions of which his Stabat Mater is the best known."
Ella Adayevskaya,"Ella Georgiyevna Adayevskaya (Russian: Элла (Елизавета) Георгиевна Адаевская; 22 February 1846 [O.S. 10 February] – 26 July 1926) was a Russian-German composer, pianist, and ethnomusicologist."
Marcial del Adalid y Gurréa,"Marcial del Adalid y Gurréa (24 August 1826 – 16 October 1881) was a Spanish composer.[1] He studied music in London between 1840 and 1844 with Ignaz Moscheles and it is possible that he also studied with Chopin in Paris. Both men influenced the style and form of his musical compositions. After finishing his studies, Adalid y Gurréa returned to Spain where he lived in A Coruña and later Madrid. Highly influenced by lieder, his most important compositions were vocal art songs and songs for the piano. A particularly fine example of his work is his 1877 composition Cantares nuevos y viejos de Galicia where he successfully blended the folklore of Galicia with the technique and spirit of Romantic piano music. He also composed one opera Inese e Bianca, which was never staged.[2] In addition to composing, Adalid y Gurréa spent much of his time teaching music courses and organizing music competitions."
Vincent Adler,"Vincent Adler (3 April 1826, Győr – 4 January 1871, Geneva) was a Hungarian composer and pianist."
Adolphe Adam,"Adolphe Charles Adam (French: [adɔlf adɑ̃]; 24 July 1803 – 3 May 1856) was a French composer, teacher and music critic. A prolific composer for the theatre, he is best known today for his ballets Giselle (1841) and Le corsaire (1856), his operas Le postillon de Lonjumeau (1836) and Si j'étais roi (1852) and his Christmas carol ""Minuit, chrétiens!"" (Midnight, Christians, 1844, known in English as ""O Holy Night"")."
Luigi Agnesi,"Luigi Agnesi (17 July 1833 – 2 February 1875) was a Belgian operatic bass-baritone, conductor and composer."
Nikolay Afanasyev (composer),"Nikolay Yakovlevich Afanasyev (Russian: Никола́й Я́ковлевич Афана́сьев; January 12, 1821 [O.S. December 31, 1820] – June 3 [O.S. May 22] 1898) was an Imperial Russian violin virtuoso and composer. His memoirs 'Vospominaniya' ('Reminiscences') appeared in 1890, and recorded his experiences as a touring musician, as part of a panorama of Russian musical life during the mid 19th century.  He became an honorary member of the Russian Musical Society in 1896."
Dionisio Aguado y García,Dionisio Aguado y García (8 April 1784 – 29 December 1849) was a Spanish classical guitarist and composer of the late Classical and early Romantic periods.
Károly Aggházy,"Károly Aggházy [ˈkaːroj ˈɒkhaːzi] (30 October 1855, Budapest – 8 October 1918, Budapest) was a Hungarian piano virtuoso and composer."
Johann Caspar Aiblinger,Johann Caspar Aiblinger (23 February 1779 – 6 May 1867) was a German composer associated with the Cecilian Movement.
Jacob Niclas Ahlström,"Jacob Niclas Ahlström (5 June 1805 in Visby, Gotland – 14 May 1857 in Stockholm) was a Swedish Kapellmeister and composer."
Karl Stefan Aichelburg,"Karl Stefan Aichelburg (22 February 1782 – 6 December 1817) (German: Karl Stefan Freiherr von Aichelburg. Also Charles, Baron d'Aichelbourg) was a mandolin virtuoso and composer who lived at the beginning of the nineteenth century in Vienna and there wrote Opus 1, Potpourri for mandolin (or violin) and guitar, Opus 2, Variations for mandolin and guitar, Opus 3, Nocturne concertantes for mandolin and guitar and Opus 4, Variations concertantes for mandolin and guitar. The above compositions were published by Haslinger, Vienna.[1][2][3]"
Natale Abbadia,"Natale Abbadia (11 March 1792 – 25 December 1861) was an Italian composer, harpsichordist, and conductor. Born in Genoa, Italy,[1] he studied music at the Genoa Conservatory."
Léopold Aimon,Pamphile Léopold François Aimon (4 October 1779 – 2 February 1866) was a French cellist and composer.
Giulio Alary,"Giulio Alary (sometimes Alari) (1814-1891) was an Italian composer.  Born in Mantua, he was a student at the Milan Conservatory before relocating to Paris, where he died, in 1891.  He wrote three operas, as well as some orchestral and chamber music, arias, and melodies.  He also served as a conductor and singing teacher."
Isaac Albéniz,"Isaac Manuel Francisco Albéniz y Pascual (Spanish pronunciation: [iˈsak alˈβeniθ]; 29 May 1860 – 18 May 1909) was a Spanish virtuoso pianist, composer, and conductor. He is one of the foremost composers of the Post-Romantic era who also had a significant influence on his contemporaries and younger composers. He is best known for his piano works based on Spanish folk music idioms.[1] Isaac Albéniz was close to the Generation of '98."
Franz Abt,"Franz Wilhelm Abt (22 December 1819 – 31 March 1885)[1] was a German composer and choral conductor.[2]  He composed roughly 3,000 individual works mostly in the area of vocal music. Several of his songs were at one time universally sung, and have obtained a more or less permanent place in the popular repertory. Abt was a renowned choral conductor, and he spent much of the last three decades of his life working as a guest conductor with choirs throughout Europe and in the United States."
Mateo Albéniz,"Mateo Albéniz, also known as Mateo Antonio Pérez de Albéniz (c. 1755 – 23 June 1831)[1] was a Spanish composer, theorist, and priest. He is not related to the better-known composer Isaac Albéniz, but he was the father of Pedro Albéniz. He is identified by the name Pedro Albéniz in some older biographical sources and was said to have died in 1821.[2]"
José Bernardo Alcedo,"José Bernardo Alzedo (August 20, 1788 – December 28, 1878) was a Peruvian composer."
J. E. P. Aldous,"John Edmund Paul Aldous (8 December 1853 – 23 January 1934) was a Canadian organist, conductor, composer, and music educator of English birth. His compositional output includes many short pieces for piano, organ, choir, and voice. He also composed four operettas: Ptarmigan or A Canadian Carnival (published 1895), A Golden Catch, Nancy or All for Love, and The Poster Girl (published 1902). Some of his better-known works are Prelude and Fugue for organ, the choral works Grant, We Beseech Thee, Merciful Lord and Blessed Are the Dead That Die in the Lord, and the hymn Egypt, all of which have been reprinted several times.[1]"
Paul Alday,"Jérôme Paul Bonaventure Alday (c.1763 – 1835) was a French violinist, composer and music publisher who spent most of his active career in Dublin, Ireland. He was the only composer in early 19th-century Ireland known to have written symphonies."
Pedro Albéniz,Pedro Albéniz y Basanta (14 April 1795 – 12 April 1855) was a Spanish pianist and composer.  He was unrelated to Isaac Albéniz.[1]
Amanda Aldridge,"Amanda Christina Elizabeth Aldridge, also known as Amanda Ira Aldridge (10 March 1866 – 9 March 1956), was a British opera singer and teacher who composed love songs, suites, sambas, and light orchestral pieces under the pseudonym of Montague Ring."
Franco Alfano,"Franco Alfano (8 March 1875 – 27 October 1954) was an Italian composer and pianist, best known today for his opera Risurrezione (1904) and for having completed Puccini's opera Turandot in 1926. He had considerable success with several of his own works during his lifetime."
Hugo Alfvén,"Hugo Emil Alfvén (Swedish: [alˈveːn] (listen); 1 May 1872 – 8 May 1960) was a Swedish composer, conductor, violinist, and painter."
Napoléon Alkan,"Napoléon Alexandre Alkan, born Napoléon Alexandre Morhange (2 February  1826 – August 1906), was a French composer and music teacher."
Charles-Valentin Alkan,"Charles-Valentin Alkan[n 1][n 2] (French: [ʃaʁl valɑ̃tɛ̃ alkɑ̃]; 30 November 1813 – 29 March 1888) was a French Jewish composer and virtuoso pianist. At the height of his fame in the 1830s and 1840s he was, alongside his friends and colleagues Frédéric Chopin and Franz Liszt, among the leading pianists in Paris, a city in which he spent virtually his entire life."
Carl Almenräder,"Carl Almenräder (3 October 1786 – 14 September 1843) was a German bassoonist, inventor and composer."
Baronne Almaury de Maistre,"Baronne Almaury de Maistre (English: Baroness Almaury de Maistre) née Henriette-Marie de Sainte-Marie (31 July 1809, Nevers – 7 June 1875, Chaulgnes) was a French composer. In 1831 she married Baron Charles-Augustin Almaury de Maistre.[1][2] She was the cousin of Joseph de Maistre by marriage and maintained a popular salon.[3] She composed etudes and an opera Roussalka which was presented in Brussels at the Théâtre de la Monnaie in 1870.[4]"
Benjamin Dwight Allen,"Benjamin Dwight Allen (February 16, 1831 in Sturbridge, Massachusetts; died March 4, 1914 in Wellesley, Massachusetts) was a composer and organist. His parents were natives of Massachusetts named Alvan and Lucy.[1] He was an organist for Congregational Churches and gained attention in the nineteenth century."
Flor Alpaerts,"Flor Alpaerts (Antwerp, 12 September 1876 – Antwerp, 5 October 1954) was a Belgian conductor, pedagogue and composer. He graduated from the Vlaamse Muziekschool in 1901."
Carl Jonas Love Almqvist,"Carl Jonas Love Ludvig Almqvist (28 November 1793  – 26 September 1866) was a Swedish author, romantic poet, romantic critic of political economy, realist, composer and social critic.[1][2][3][4]"
Eyvind Alnæs,Pianist Organist
Joseph-Henri Altès,"Joseph-Henri Altès (18 January 1826 – 24 July 1895) was a 19th-century French flautist, composer and pedagogue."
Elias Parish Alvars,"Elias Parish Alvars (surname sometimes given as Parish-Alvars), (28 February 1808 – 25 January 1849) was an English harpist and composer. He was born as Eli Parish in Teignmouth, Devon; his father was a local organist.[1][2] His baptismal record at St James’s Church, West Teignmouth, reads: ""Eli, son of Joseph and Mary Ann Parish"".[3]"
August Ferdinand Anacker,August Ferdinand Anacker (17 October 1790 – 21 August 1854) was a German composer.
Alexander Alyabyev,"Alexander Aleksandrovich Alyabyev (Russian: Алекса́ндр Алекса́ндрович Аля́бьев; 15 August [O.S. 4 August] 1787 – 6 March [O.S. 22 February] 1851), also rendered as Alabiev or Alabieff, was a Russian composer known as one of the fathers of the Russian art song. He wrote seven operas, twenty musical comedies, a symphony, three string quartets, more than 200 songs, and many other pieces."
Gaetano Amadeo,"Gaetano Amadeo (1824 – 8 April 1893) was an Italian organist and composer. He spent most of his career in Marseille, where he lived for 27 years and founded a school of plainsong, an exceptional undertaking at this time."
